DayStepNumber,QuantityProduced(kg)
0,0
1,0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,8.363636
9,7.754368
10,0.363636
11,15.636361999999998
12,13.862241000000001
13,12.727272
14,26.358822
15,20.877718
16,19.390729
17,22.083904999999998
18,19.800762
19,19.81074
20,21.126036
21,19.200576
22,15.543382999999999
23,16.938765999999998
24,13.79854
25,11.086658
26,14.596607999999996
27,10.394319999999999
28,8.671986
29,8.274170999999999
30,10.166117
31,7.445544
32,11.830898999999999
33,8.953033999999999
34,10.440072999999998
35,11.536413
36,11.203509
37,9.547806
38,10.159493999999999
39,7.4240390000000005
40,5.761915999999999
41,9.484537
42,7.890742999999999
43,6.1818159999999995
44,10.850215999999998
45,8.196519
46,6.379422
47,6.8753020000000005
48,7.447312
49,5.818180999999999
50,9.08742
51,7.924326000000001
52,8.368155999999999
53,6.711550000000001
54,7.408823999999999
55,7.8877679999999994
56,7.4023460000000005
57,6.412999
58,6.535818999999999
59,8.438956000000001
60,8.864746
61,8.42078
62,10.001345999999998
63,8.331116999999999
64,7.536391
65,7.1482969999999995
66,7.237922999999999
67,6.899743
68,10.643908
69,6.493251999999999
70,9.792256
71,8.629625
72,8.906042999999999
73,6.406166000000001
74,8.911966
75,6.922212
76,7.412604
77,7.753158
78,6.826647
79,6.250323999999999
80,8.260352
81,7.255059
82,7.479557
83,10.201531999999998
84,7.029007999999999
85,9.006803999999999
86,9.869107
87,9.272635
88,7.999995999999999
89,9.992284
90,7.079266
91,7.994973
92,9.099925999999998
93,7.147522
94,6.527871
95,10.405659999999997
96,8.606615
97,8.172289
98,9.040676999999999
99,9.291549999999999
100,8.90536
101,7.589993999999999
102,8.494843
103,6.909088000000001
104,12.441600999999999
105,8.58013
106,13.196242999999999
107,10.402026999999999
108,9.481805999999999
109,8.191059
110,9.80678
111,10.568839
112,9.838292
113,13.454541999999996
114,9.81428
115,13.269798999999999
116,14.387376999999999
117,9.713432
118,10.909087999999999
119,13.688661
120,8.872411999999999
121,12.72727
122,13.434249999999999
123,10.370087999999999
124,17.081039999999998
125,13.330703999999997
126,9.629990999999999
127,12.442037999999998
128,12.100817
129,11.740265999999998
130,12.690893999999997
131,15.373384999999997
132,11.922871999999998
133,13.384491999999998
134,17.440507999999998
135,11.223403000000001
136,17.454542999999997
137,13.419342999999998
138,12.537027999999998
139,13.818177999999998
140,24.727870999999997
141,15.355337999999998
142,16.673158
143,15.739408999999998
144,9.926839
145,19.311321
146,15.907535999999997
147,17.689594
148,17.524157000000002
149,18.465362
150,13.781858
